Node ID,Total de Alarmes,Total de Correlações,Total de Incidentes,Média de Alarmes por Incidente,Densidade
060eb20f-468b-456b-bf61-a5169ee82154,2,1,1,2.0,1.0
7674952c-3dc4-4b9e-8c10-95bcbddba5cb,3,1,1,3.0,0.3333333333333333
8a5c0281-9b90-4044-9c85-6636b080310a,7,21,1,7.0,1.0
75397ad4-2159-447e-b5d2-f50353dd33d2,4,6,1,4.0,1.0
a071c026-3979-472d-8792-bcb401fc8952,3,1,1,3.0,0.3333333333333333
bcbac85b-fff4-4555-8fda-1ca5dfdfc25c,2,1,1,2.0,1.0
dddb4043-0008-4efc-8e64-e23aca83060c,3,1,1,3.0,0.3333333333333333
a5126d4f-0bd1-4023-ae9d-d2c1e903e0ae,3,3,1,3.0,1.0
0dcd0192-ede0-4b98-9587-6e2d277d0303,2,1,1,2.0,1.0
f13ef2dc-feab-47d9-9111-c7c50767ca89,2,1,1,2.0,1.0
009e220c-1262-4c63-969c-845f91023ede,13,78,1,13.0,1.0
89c94ac9-2654-4f1e-aa43-e8e9bdafa352,25,274,1,25.0,0.9133333333333333
ca4c6b40-e10a-4e25-b530-e86505d31971,3,1,1,3.0,0.3333333333333333
c961d983-9057-4947-8e5f-4354afccc4bd,114,6441,1,114.0,1.0
91a88652-ae86-4e8d-90b3-366e175afaa5,3,3,1,3.0,1.0
55b87797-725e-4a8a-8f22-af0692b690c3,3,3,1,3.0,1.0
d41f72b0-d874-4f92-a580-e9a77c894209,6,15,1,6.0,1.0
cc9aa33d-698e-4281-a400-cc87f70ec0b4,5,10,1,5.0,1.0
df4d6f95-8c2d-4eb0-a3a1-4ca1e50bee72,3,3,1,3.0,1.0
55e90ca3-1e9b-46e8-a1af-dfbd91b5101e,4,6,1,4.0,1.0
d90ba2a5-2d05-419e-b07d-e04aabe6ba14,6,1,1,6.0,0.06666666666666667
51c95e42-6509-4380-a975-3c074b102da4,3,3,1,3.0,1.0
e8f279c6-4b09-42fe-bc90-278393035e8f,3,1,1,3.0,0.3333333333333333
d6ffcafc-9d4b-4326-9d95-bd32d7142940,3,3,1,3.0,1.0
a46f1292-4a20-48e3-a224-63d2ef0a5616,7,21,1,7.0,1.0
59f60a0b-2c3a-488a-886f-32bf2151905c,2,1,1,2.0,1.0
a033bcc4-cdc7-4ee7-a0f5-e5bdae3a8648,2,1,1,2.0,1.0
3d64f73d-6cd3-4bbb-9994-40393c65d1ff,3,1,1,3.0,0.3333333333333333
903b4b2d-25d5-4e50-8556-c7070c36f342,2,1,1,2.0,1.0
948b7b35-1cfe-4e16-ab13-94bbaaf0f385,2,1,1,2.0,1.0
1e42f361-d15a-4f4b-a9cd-225eb3e76a3f,2,1,1,2.0,1.0
9a4555e5-c4b8-48e6-99dd-aed86aaf00cd,2,1,1,2.0,1.0
9642d166-ab9d-4dbb-b7ee-085ba65db674,33,528,1,33.0,1.0
37cd5dd0-1ad0-46e1-bdb5-f496007e3817,40,741,1,40.0,0.95
546eea10-1ece-4d6b-9c87-d69c5a5ccf8f,162,13041,1,162.0,1.0
862b9c0f-b8ef-4f13-8579-f34de9e8d747,2,1,1,2.0,1.0
07bc82e4-2844-4e9b-b295-2f8643019f2d,7,10,1,7.0,0.47619047619047616
de8f808c-fc4b-4ede-8f6d-7fe8a63486c6,9,28,1,9.0,0.7777777777777778
5db8367b-00e5-4363-a723-4942bfbb8477,6,15,1,6.0,1.0
73077f1f-a2a5-4368-a228-ea42b781e928,2,1,1,2.0,1.0
72c51e7c-0dc4-4dc8-9a76-3ebf413d9181,4,1,1,4.0,0.16666666666666666
a0bf5596-0f09-4ceb-8c68-6ed55203c304,2,1,1,2.0,1.0
d5f413af-24b9-4fc8-9525-3d8d6767bc53,3,1,1,3.0,0.3333333333333333
894c23e6-7fa4-483f-8c16-a9f2bedde930,3,3,1,3.0,1.0
749ad0a4-437c-4760-9f93-125686d7d781,3,1,1,3.0,0.3333333333333333
effd779a-3a5f-422f-b0a1-d7b9274a031e,2,1,1,2.0,1.0
d76c8907-3410-463c-b838-bcb8293d9b5c,3,3,1,3.0,1.0
223cbc27-1c5b-4852-89e0-29c00ad506e4,7,21,1,7.0,1.0
05845c2c-b699-4021-9e75-d54cc409021f,4,6,1,4.0,1.0
a43b7060-17e7-43fd-a1dd-8e1f7b682659,2,1,1,2.0,1.0
a20a38b7-ab1c-4de8-9d81-4cd77af14f16,3,1,1,3.0,0.3333333333333333
b24be3a7-afc3-4ad0-a6b9-215aef07357c,2,1,1,2.0,1.0
64f080fa-40c0-43d4-98a3-f3beb856ab1b,2,1,1,2.0,1.0
33190742-b395-4e38-ad47-9ad4ed15d2c6,3,3,1,3.0,1.0
b5f6a8fe-ef09-489a-a82e-43eaa399347c,5,10,1,5.0,1.0
b985e83a-175b-489c-bb90-90fb21170e94,4,6,1,4.0,1.0
a6d99f3e-e193-4291-82ba-234f05572da6,3,1,1,3.0,0.3333333333333333
b9bc57ee-a0ce-4d9e-9916-081827db27b6,2,1,1,2.0,1.0
59685fa1-9c18-47b2-a80b-99a145758932,2,1,1,2.0,1.0
d2158dd2-35a8-4bc2-a175-11a82cff9b19,3,3,1,3.0,1.0
e3f04d43-4569-4510-b4b0-6b3132b7af8f,2,1,1,2.0,1.0
